time_s,voltage_v
1.964569091796875000e-03,2.568489619313433003e+00
3.952741622924804688e-03,2.563856549722737022e+00
5.941867828369140625e-03,2.561706013882877109e+00
7.942676544189453125e-03,2.560253448516541575e+00
9.939908981323242188e-03,2.558942742221682387e+00
1.194071769714355469e-02,2.557944364302678686e+00
1.393938064575195312e-02,2.556504315913238123e+00
1.594090461730957031e-02,2.555798596834969239e+00
1.793932914733886719e-02,2.554507560075230721e+00
1.994180679321289062e-02,2.553391164945503000e+00
2.193927764892578125e-02,2.552056020743372677e+00
2.394175529479980469e-02,2.550525969329592080e+00
2.593851089477539062e-02,2.550421661188800648e+00
2.794027328491210938e-02,2.548983996985435319e+00
2.993822097778320312e-02,2.547942107670558620e+00
3.194022178649902344e-02,2.547826474645909833e+00
3.393816947937011719e-02,2.547061746962278939e+00
3.594279289245605469e-02,2.546922272076877825e+00
3.794407844543457031e-02,2.545993035554055428e+00
3.994011878967285156e-02,2.546010916949619673e+00
4.193782806396484375e-02,2.545933430902174610e+00
4.394078254699707031e-02,2.545170491358100140e+00
4.594421386718750000e-02,2.544735377399370169e+00
4.794025421142578125e-02,2.541840975504037647e+00
4.993867874145507812e-02,2.541691367827816794e+00
5.198645591735839844e-02,2.542141978996035778e+00
5.404949188232421875e-02,2.504626215055729688e+00
5.601215362548828125e-02,2.485577164361139069e+00
5.798172950744628906e-02,2.470382746503680504e+00
6.005644798278808594e-02,2.458027894261824553e+00
6.195998191833496094e-02,2.444918447127157002e+00
6.395220756530761719e-02,2.482707200373077239e+00
6.593894958496093750e-02,2.487092910658468270e+00
6.794190406799316406e-02,2.491432129315391819e+00
6.994009017944335938e-02,2.491831480482993300e+00
7.193994522094726562e-02,2.496643364029331735e+00
7.393932342529296875e-02,2.499885857091648234e+00
7.594037055969238281e-02,2.504465878542170287e+00
7.793879508972167969e-02,2.504800856685740484e+00
7.993984222412109375e-02,2.510119379773065873e+00
8.193945884704589844e-02,2.512786091898213670e+00
8.393907546997070312e-02,2.516790928458086274e+00
8.593940734863281250e-02,2.519305648720937985e+00
8.794093132019042969e-02,2.522764506669581852e+00
8.994007110595703125e-02,2.525179687163792597e+00
9.193944931030273438e-02,2.529911700476610736e+00
9.393906593322753906e-02,2.532062832362989457e+00
9.593939781188964844e-02,2.536115352644366272e+00
9.793949127197265625e-02,2.538821403839755408e+00
9.994387626647949219e-02,2.542251651555496483e+00
1.019382476806640625e-01,2.544693654143053596e+00
1.039400100708007812e-01,2.548321193256520623e+00
1.059391498565673828e-01,2.551012939335458363e+00
1.079409122467041016e-01,2.553139633314565948e+00
1.099386215209960938e-01,2.555414146830337963e+00
1.119408607482910156e-01,2.559246725946274559e+00
1.139376163482666016e-01,2.561412162949104676e+00
1.159398555755615234e-01,2.562881417617966839e+00
1.179380416870117188e-01,2.565731712070907555e+00
1.199405193328857422e-01,2.568306036985640084e+00
1.219379901885986328e-01,2.568922945132606550e+00
1.239407062530517578e-01,2.572023579123446702e+00
1.259388923645019531e-01,2.574225374963924118e+00
1.279404163360595703e-01,2.575267264278800816e+00
1.299383640289306641e-01,2.576701948249572105e+00
1.319408416748046875e-01,2.578421542456334148e+00
1.339383125305175781e-01,2.580655524808827206e+00
1.359395980834960938e-01,2.582683275065812634e+00
1.379380226135253906e-01,2.583622644379454325e+00
1.399402618408203125e-01,2.584481547413056912e+00
1.419374942779541016e-01,2.586117099060666558e+00
1.439404487609863281e-01,2.588071535595838579e+00
1.459381580352783203e-01,2.589705299103891800e+00
1.479396820068359375e-01,2.590824674466213562e+00
1.499381065368652344e-01,2.591662119825139055e+00
1.519410610198974609e-01,2.593258332402507360e+00
1.539382934570312500e-01,2.595211576844641765e+00
1.559391021728515625e-01,2.596280884299383640e+00
1.579377651214599609e-01,2.597792458271081184e+00
1.599400043487548828e-01,2.598250221997525866e+00
1.619386672973632812e-01,2.598887395726131810e+00
1.639406681060791016e-01,2.600734543887918360e+00
1.659388542175292969e-01,2.601319861569387992e+00
1.679408550262451172e-01,2.602210355068487413e+00
1.699385643005371094e-01,2.602041673903664698e+00
1.719405651092529297e-01,2.603951406949926106e+00
1.739385128021240234e-01,2.604990316032208764e+00
1.759400367736816406e-01,2.604742360680384561e+00
1.779379844665527344e-01,2.606533480469403141e+00
1.799402236938476562e-01,2.606863094194304065e+00
1.819379329681396484e-01,2.608119560255951708e+00
1.839401721954345703e-01,2.606933427683523430e+00
1.859381198883056641e-01,2.608420563747949839e+00
1.879403591156005859e-01,2.608211947466366976e+00
1.899383068084716797e-01,2.607225490477739438e+00
1.919403076171875000e-01,2.609306884921417602e+00
1.939394474029541016e-01,2.606968594428133112e+00
1.959397792816162109e-01,2.607838226299074247e+00
1.979384422302246094e-01,2.609056545383518166e+00
1.999397277832031250e-01,2.608641100959908865e+00
2.019381523132324219e-01,2.609495235621361431e+00
2.039399147033691406e-01,2.609538747017234428e+00
2.059385776519775391e-01,2.609314037479643300e+00
2.079410552978515625e-01,2.609914256324083581e+00
2.099380493164062500e-01,2.608707858170015381e+00
2.119405269622802734e-01,2.608840180497190797e+00
2.139379978179931641e-01,2.609514309109963293e+00
2.159404754638671875e-01,2.609850479346571106e+00
2.179377079010009766e-01,2.609352780503365832e+00
2.199399471282958984e-01,2.609201980734107362e+00
2.219388484954833984e-01,2.609788490508615055e+00
2.239437103271484375e-01,2.607512188853286172e+00
2.259380817413330078e-01,2.608380628631189690e+00
2.279405593872070312e-01,2.607816768624397152e+00
2.299380302429199219e-01,2.606674147447841872e+00
2.319405078887939453e-01,2.607342315595425841e+00
2.339377403259277344e-01,2.605955315346159207e+00
2.359402179718017578e-01,2.605638814644672063e+00
2.379374504089355469e-01,2.604385924862137269e+00
2.399401664733886719e-01,2.604354334396640436e+00
2.419383525848388672e-01,2.603915644158797615e+00
2.439398765563964844e-01,2.602608514143051277e+00
2.459425926208496094e-01,2.601430726221886314e+00
2.479417324066162109e-01,2.597900938737504273e+00
2.499394416809082031e-01,2.595877956852669310e+00
2.519390583038330078e-01,2.596187304995930756e+00
2.539350986480712891e-01,2.595065545447533761e+00
2.559392452239990234e-01,2.595099520099105828e+00
2.579419612884521484e-01,2.592122267737658969e+00
2.599399089813232422e-01,2.591392706798637757e+00
2.619392871856689453e-01,2.590643476324495875e+00
2.639386653900146484e-01,2.588641952114338007e+00
2.659392356872558594e-01,2.587544034426693340e+00
2.679431438446044922e-01,2.586204121852412552e+00
2.699382305145263672e-01,2.583545754378528070e+00
2.719399929046630859e-01,2.584474990901350022e+00
2.739388942718505859e-01,2.581810066915758650e+00
2.759404182434082031e-01,2.581775496217667776e+00
2.779381275177001953e-01,2.581386277840886034e+00
2.799403667449951172e-01,2.579870531543556833e+00
2.819383144378662109e-01,2.578405449200326327e+00
2.839400768280029297e-01,2.578132459894712181e+00
2.859377861022949219e-01,2.577626416400243592e+00
2.879419326782226562e-01,2.576403924990168015e+00
2.899372577667236328e-01,2.573590585421393406e+00
2.919397354125976562e-01,2.573203155184168089e+00
2.939379215240478516e-01,2.571927019587399776e+00
2.959403991699218750e-01,2.571096130740181174e+00
2.979385852813720703e-01,2.569846221190240421e+00
2.999708652496337891e-01,2.569274612578703376e+00
3.019628524780273438e-01,2.547595804643131068e+00
3.039426803588867188e-01,2.559497661530692803e+00
3.059403896331787109e-01,2.560038275723251822e+00
3.079409599304199219e-01,2.558371729656664151e+00
3.099403381347656250e-01,2.557083077083000866e+00
3.119394779205322266e-01,2.557716674532493961e+00
3.139383792877197266e-01,2.557161159176964738e+00
3.159496784210205078e-01,2.556962079639682806e+00
3.180015087127685547e-01,2.555582231948641869e+00
3.199605941772460938e-01,2.524109783662531914e+00
3.219487667083740234e-01,2.522046866660936804e+00
3.239417076110839844e-01,2.530404630947665101e+00
3.259415626525878906e-01,2.530489269553335863e+00
3.279402256011962891e-01,2.531354729098645340e+00
3.299398422241210938e-01,2.530823055603868443e+00
3.319396972656250000e-01,2.533515993775843800e+00
3.339393138885498047e-01,2.534347478669581211e+00
3.359453678131103516e-01,2.534964982863066485e+00
3.379342555999755859e-01,2.537617985918281693e+00
3.399376869201660156e-01,2.537900511968196771e+00
3.419396877288818359e-01,2.538765375466987440e+00
3.439412117004394531e-01,2.541307513869704326e+00
3.459379673004150391e-01,2.542954986447690136e+00
3.479440212249755859e-01,2.543515866221888633e+00
3.499386310577392578e-01,2.544815843679409273e+00
3.519401550292968750e-01,2.546156948346727678e+00
3.539378643035888672e-01,2.547431891850458818e+00
3.559398651123046875e-01,2.549737995831727666e+00
3.579387664794921875e-01,2.550215429093293018e+00
3.599407672882080078e-01,2.551673358878297826e+00
3.619382381439208984e-01,2.552899426567486252e+00
3.639423847198486328e-01,2.554176158210773373e+00
3.659381866455078125e-01,2.555127448454791228e+00
3.679397106170654297e-01,2.556028074744710388e+00
3.699386119842529297e-01,2.556547231262592312e+00
3.719403743743896484e-01,2.557795352672976641e+00
3.739378452301025391e-01,2.559771246882825757e+00
3.759400844573974609e-01,2.560955591315697610e+00
3.779380321502685547e-01,2.561218447830492018e+00
3.799405097961425781e-01,2.563382692740284519e+00
3.819389343261718750e-01,2.563875027164820075e+00
3.839433193206787109e-01,2.563560910649408164e+00
3.859369754791259766e-01,2.563935823909738509e+00
3.879406452178955078e-01,2.566256829053977562e+00
3.899431228637695312e-01,2.565307922996034939e+00
3.919751644134521484e-01,2.564886518107237556e+00
3.939526081085205078e-01,2.550032442812018907e+00
3.959395885467529297e-01,2.556030458930785620e+00
3.979389667510986328e-01,2.557692236625222826e+00
3.999395370483398438e-01,2.559252090364943832e+00
4.019386768341064453e-01,2.560285038982038408e+00
4.039394855499267578e-01,2.561376996204494993e+00
4.059393405914306641e-01,2.562252588540624210e+00
4.079418182373046875e-01,2.563094206225181360e+00
4.099380970001220703e-01,2.562986321805277079e+00
4.119431972503662109e-01,2.564640350894969778e+00
4.139382839202880859e-01,2.565145798342919115e+00
4.159400463104248047e-01,2.565902181375286695e+00
4.179382324218750000e-01,2.566328950682753351e+00
4.199409484863281250e-01,2.567418523719134704e+00
4.219388961791992188e-01,2.568050333029071375e+00
4.239401817321777344e-01,2.569341965835328701e+00
4.259376525878906250e-01,2.568761416526009533e+00
4.279420375823974609e-01,2.569445677929601324e+00
4.299383163452148438e-01,2.567410775114390198e+00
4.319405555725097656e-01,2.569578000256776740e+00
4.339385032653808594e-01,2.570656844455819545e+00
4.359405040740966797e-01,2.570877381667778572e+00
4.379372596740722656e-01,2.571340509812892527e+00
4.399394989013671875e-01,2.571037122134819164e+00
4.419376850128173828e-01,2.571484157023925299e+00
4.439401626586914062e-01,2.572130867496832174e+00
4.459431171417236328e-01,2.572829434016875361e+00
4.479446411132812500e-01,2.567671843489628181e+00
4.499397277832031250e-01,2.569210239554672093e+00
4.519398212432861328e-01,2.569509454907113799e+00
4.539394378662109375e-01,2.570676513990940215e+00
4.559395313262939453e-01,2.570562073059329045e+00
4.579384326934814453e-01,2.570882150039929037e+00
4.599392414093017578e-01,2.570974537250344305e+00
4.619407653808593750e-01,2.570986458180720469e+00
4.639642238616943359e-01,2.571427532604638522e+00
4.659411907196044922e-01,2.565346666019757471e+00
4.679412841796875000e-01,2.567099042785053520e+00
4.699382781982421875e-01,2.565543361370964170e+00
4.719400405883789062e-01,2.567153879064783872e+00
4.739382266998291016e-01,2.567489453254872878e+00
4.759430885314941406e-01,2.567368455811554817e+00
4.779384136199951172e-01,2.568030663493950705e+00
4.799401760101318359e-01,2.567944832795242327e+00
4.819376468658447266e-01,2.568759032339934301e+00
4.839401245117187500e-01,2.568703003967166332e+00
4.859378337860107422e-01,2.569598861884935026e+00
4.879400730133056641e-01,2.569396206068540245e+00
4.899380207061767578e-01,2.568057485587297073e+00
4.919407367706298828e-01,2.568698831641534674e+00
4.939384460449218750e-01,2.567603894186484048e+00
4.959402084350585938e-01,2.569020100715172283e+00
4.979379177093505859e-01,2.569127389088557756e+00
4.999406337738037109e-01,2.569561907000768919e+00
5.019381046295166016e-01,2.569157191414498165e+00
5.039393901824951172e-01,2.569519587697933538e+00
5.059390068054199219e-01,2.568666049083000225e+00
5.079405307769775391e-01,2.569438525371375626e+00
5.099377632141113281e-01,2.569349118393554399e+00
5.119407176971435547e-01,2.570255705148661640e+00
5.139381885528564453e-01,2.569697805607057184e+00
5.159411430358886719e-01,2.569477864441616966e+00
5.179376602172851562e-01,2.568986126063600217e+00
5.199406147003173828e-01,2.569154211181904124e+00
5.219388008117675781e-01,2.568704196060203948e+00
