time_s,voltage_v
1.943349838256835938e-03,2.569409915138472833e+00
3.940343856811523438e-03,2.565174408575821907e+00
5.929946899414062500e-03,2.563464351113361239e+00
7.930040359497070312e-03,2.562738962499971684e+00
9.928703308105468750e-03,2.558391399191784821e+00
1.192951202392578125e-02,2.558426565936394503e+00
1.392769813537597656e-02,2.557845420580556528e+00
1.594710350036621094e-02,2.553761905880201688e+00
1.795959472656250000e-02,2.544606035304788794e+00
1.993489265441894531e-02,2.540234034089330795e+00
2.192807197570800781e-02,2.538338010113001975e+00
2.392816543579101562e-02,2.540646498280346055e+00
2.593541145324707031e-02,2.539625470593627643e+00
2.792954444885253906e-02,2.538991873144134548e+00
2.992892265319824219e-02,2.537702028477433647e+00
3.192901611328125000e-02,2.537169162889619134e+00
3.392863273620605469e-02,2.535295192634486217e+00
3.592991828918457031e-02,2.535658781010959206e+00
3.792762756347656250e-02,2.533335391680644921e+00
3.992915153503417969e-02,2.533471886333451994e+00
4.192733764648437500e-02,2.535406653333503346e+00
4.392814636230468750e-02,2.533605400753665027e+00
4.592752456665039062e-02,2.535328571239539475e+00
4.792857170104980469e-02,2.534223500993669109e+00
4.992771148681640625e-02,2.531823221662428569e+00
5.192828178405761719e-02,2.531505528867903809e+00
5.392718315124511719e-02,2.531169954677814804e+00
5.592870712280273438e-02,2.531037036304120580e+00
5.792832374572753906e-02,2.532481853065711608e+00
5.992770195007324219e-02,2.530750933975092654e+00
6.192469596862792969e-02,2.532843057256109365e+00
6.392621994018554688e-02,2.532338205854678836e+00
6.592965126037597656e-02,2.525579038331394077e+00
6.792950630187988281e-02,2.529483739076106463e+00
6.992912292480468750e-02,2.528665367205782832e+00
7.192850112915039062e-02,2.527162733931867411e+00
7.392716407775878906e-02,2.528552118367209278e+00
7.592940330505371094e-02,2.529833618382646865e+00
7.792711257934570312e-02,2.530557218856479995e+00
7.992935180664062500e-02,2.532591525625172313e+00
8.192682266235351562e-02,2.531413737704007350e+00
8.392882347106933594e-02,2.530290786062572739e+00
8.592772483825683594e-02,2.531072799095249071e+00
8.792829513549804688e-02,2.529905740011422655e+00
8.992719650268554688e-02,2.530747953742498613e+00
9.192848205566406250e-02,2.532515827717283674e+00
9.392642974853515625e-02,2.531906072128542906e+00
9.592795372009277344e-02,2.533247772842380119e+00
9.792757034301757812e-02,2.534222308900631493e+00
9.992861747741699219e-02,2.533142868655069879e+00
1.019270420074462891e-01,2.534247938900940245e+00
1.039278507232666016e-01,2.534019057037717904e+00
1.059274673461914062e-01,2.534525696578704856e+00
1.079287528991699219e-01,2.536025349620026237e+00
1.099276542663574219e-01,2.535289828215816943e+00
1.119282245635986328e-01,2.537486855684143894e+00
1.139261722564697266e-01,2.537787859176142025e+00
1.159274578094482422e-01,2.536435429624966265e+00
1.179270744323730469e-01,2.536816899397003500e+00
1.199276447296142578e-01,2.536983792422269790e+00
1.219267845153808594e-01,2.536594574045488049e+00
1.239287853240966797e-01,2.538323108950031770e+00
1.259269714355468750e-01,2.538531725231614633e+00
1.279296875000000000e-01,2.538906042445426170e+00
1.299278736114501953e-01,2.540573184558532649e+00
1.319293975830078125e-01,2.539721434083155760e+00
1.339256763458251953e-01,2.538735573141047031e+00
1.359281539916992188e-01,2.538972799655532686e+00
1.379275321960449219e-01,2.538498346626561375e+00
1.399283409118652344e-01,2.539401953149074576e+00
1.419265270233154297e-01,2.542087738762824234e+00
1.439282894134521484e-01,2.541331355730456654e+00
1.459267139434814453e-01,2.542399471092160912e+00
1.479282379150390625e-01,2.543329899708020481e+00
1.499273777008056641e-01,2.542020981552717718e+00
1.519291400909423828e-01,2.542097871553643973e+00
1.539266109466552734e-01,2.541379039451961308e+00
1.559283733367919922e-01,2.542212312485255143e+00
1.579275131225585938e-01,2.545354073685893059e+00
1.599278450012207031e-01,2.543077772030564621e+00
1.619272232055664062e-01,2.544855778796169421e+00
1.639289855957031250e-01,2.544742529957595867e+00
1.659276485443115234e-01,2.544246023207428653e+00
1.679329872131347656e-01,2.544937437169246142e+00
1.699376106262207031e-01,2.540634577349969891e+00
1.719288825988769531e-01,2.541614477826890539e+00
1.739270687103271484e-01,2.543303077614674113e+00
1.759970188140869141e-01,2.543312018312456235e+00
1.779453754425048828e-01,2.492214738394586959e+00
1.800217628479003906e-01,2.482511697114908156e+00
1.819863319396972656e-01,2.467891868101581121e+00
1.840243339538574219e-01,2.451812917210211218e+00
1.859099864959716797e-01,2.458733017293574630e+00
1.879382133483886719e-01,2.482502756417126033e+00
1.899285316467285156e-01,2.485180793426131629e+00
1.919293403625488281e-01,2.492922245612412269e+00
1.939282417297363281e-01,2.492115794672464801e+00
1.959302425384521484e-01,2.498882710800494067e+00
1.979372501373291016e-01,2.494920193543457287e+00
1.999285221099853516e-01,2.502524555030412046e+00
2.019290924072265625e-01,2.505417764832706951e+00
2.039299011230468750e-01,2.507347167414089029e+00
2.059280872344970703e-01,2.509393395113157510e+00
2.079291343688964844e-01,2.517476978001234489e+00
2.099287509918212891e-01,2.517956795448875074e+00
2.119290828704833984e-01,2.523514929236761350e+00
2.139286994934082031e-01,2.525195184373281609e+00
2.159283161163330078e-01,2.528316679992280047e+00
2.179281711578369141e-01,2.531449500495135840e+00
2.199282646179199219e-01,2.535119358911437804e+00
2.219271659851074219e-01,2.535803620315029594e+00
2.239301204681396484e-01,2.540389006184220921e+00
2.259302139282226562e-01,2.543344800870990685e+00
2.279300689697265625e-01,2.543528383198783605e+00
2.299270629882812500e-01,2.549192613267018181e+00
2.319290637969970703e-01,2.550137346999329147e+00
2.339279651641845703e-01,2.551701969111200619e+00
2.359287738800048828e-01,2.553559250063806907e+00
2.379274368286132812e-01,2.554095095884215461e+00
2.399294376373291016e-01,2.555892176138422123e+00
2.419266700744628906e-01,2.559821910836924452e+00
2.439279556274414062e-01,2.561719722952809697e+00
2.459273338317871094e-01,2.564227886703954518e+00
2.479283809661865234e-01,2.565092750202745187e+00
2.499275207519531250e-01,2.563602633905724737e+00
2.519288063049316406e-01,2.566165633936599910e+00
2.539274692535400391e-01,2.566570349522870664e+00
2.559282779693603516e-01,2.567956753725618491e+00
2.579271793365478516e-01,2.572024175169965510e+00
2.599282264709472656e-01,2.570118614449335759e+00
2.619266510009765625e-01,2.572819897272574430e+00
2.639288902282714844e-01,2.572483727035966616e+00
2.659273147583007812e-01,2.572589227269795664e+00
2.679283618927001953e-01,2.573462435419849648e+00
2.699282169342041016e-01,2.573204943323724514e+00
2.719285488128662109e-01,2.572486707268560657e+00
2.739267349243164062e-01,2.573817083098540515e+00
2.759287357330322266e-01,2.574150273102554287e+00
2.779271602630615234e-01,2.575469324048676789e+00
2.799293994903564453e-01,2.576131531731072677e+00
2.819266319274902344e-01,2.575871059402353502e+00
2.839276790618896484e-01,2.573528596583437356e+00
2.859268188476562500e-01,2.573970863100393025e+00
2.879292964935302734e-01,2.572121926799050051e+00
2.899293899536132812e-01,2.567739196746253505e+00
2.919290065765380859e-01,2.573297330534139782e+00
2.939269542694091797e-01,2.570831486085830342e+00
2.959287166595458984e-01,2.573201963091130473e+00
2.979271411895751953e-01,2.571674295863425108e+00
2.999289035797119141e-01,2.570231863287909313e+00
3.019273281097412109e-01,2.570244976311323093e+00
3.039283752441406250e-01,2.569784828398803178e+00
3.059265613555908203e-01,2.569665619095041542e+00
3.079283237457275391e-01,2.571410247255593085e+00
3.099262714385986328e-01,2.568505116522922016e+00
3.119287490844726562e-01,2.570345708173001675e+00
3.139271736145019531e-01,2.568884798155402827e+00
3.159289360046386719e-01,2.566379614636852047e+00
3.179287910461425781e-01,2.565916486491738091e+00
3.199298381805419922e-01,2.557638592438530090e+00
3.219273090362548828e-01,2.556377358004731981e+00
3.239281177520751953e-01,2.557550973600265287e+00
3.259272575378417969e-01,2.557860321743526733e+00
3.279290199279785156e-01,2.557373351737660450e+00
3.299274444580078125e-01,2.559140629665926703e+00
3.319294452667236328e-01,2.558284706864918157e+00
3.339262008666992188e-01,2.555957741255491023e+00
3.359298706054687500e-01,2.557120628013685781e+00
3.379278182983398438e-01,2.554786509846032949e+00
3.399291038513183594e-01,2.555357522411051185e+00
3.419275283813476562e-01,2.556944198244118560e+00
3.439283370971679688e-01,2.556097812187410945e+00
3.459267616271972656e-01,2.556786841963153201e+00
3.479282855987548828e-01,2.556343383353159915e+00
3.499267101287841797e-01,2.553879923090925708e+00
3.519282341003417969e-01,2.554490274726185284e+00
3.539271354675292969e-01,2.552708691681467634e+00
3.559296131134033203e-01,2.553305930293313430e+00
3.579270839691162109e-01,2.555795020555856389e+00
3.599281311035156250e-01,2.552939361684246400e+00
3.619277477264404297e-01,2.555065459616835177e+00
3.639283180236816406e-01,2.555212683106980798e+00
3.659267425537109375e-01,2.553600973320123479e+00
3.679401874542236328e-01,2.553637332157770778e+00
3.699312210083007812e-01,2.546943133705036111e+00
3.719279766082763672e-01,2.548716968145009254e+00
3.739266395568847656e-01,2.548564976282713168e+00
3.759284019470214844e-01,2.549975818392732130e+00
3.779273033142089844e-01,2.549449509316624507e+00
3.799283504486083984e-01,2.552281326327482169e+00
3.819274902343750000e-01,2.549900120484843491e+00
3.839280605316162109e-01,2.550334638397054654e+00
3.859283924102783203e-01,2.546962207193637973e+00
3.879284858703613281e-01,2.547990983485100891e+00
3.899264335632324219e-01,2.548461264188440545e+00
3.919291496276855469e-01,2.550710147703903807e+00
3.939266204833984375e-01,2.548332518140377978e+00
3.959286212921142578e-01,2.550596898865330253e+00
3.979275226593017578e-01,2.550575441190653159e+00
