time_s,voltage_v
1.995563507080078125e-03,2.359715981449602040e+00
4.021644592285156250e-03,2.364227457550461153e+00
5.954742431640625000e-03,2.362485213575984844e+00
8.041620254516601562e-03,2.364822908022750525e+00
1.003742218017578125e-02,2.360018773081156596e+00
1.199412345886230469e-02,2.364082618246390766e+00
1.401495933532714844e-02,2.362981720326152058e+00
1.594901084899902344e-02,2.366045399432826102e+00
1.800894737243652344e-02,2.368489190159939639e+00
1.999187469482421875e-02,2.374196335577527961e+00
2.200341224670410156e-02,2.376706287468229206e+00
2.394056320190429688e-02,2.381750033110384024e+00
2.600264549255371094e-02,2.382956431264451780e+00
2.793526649475097656e-02,2.389892624603822568e+00
3.000116348266601562e-02,2.394050645119028875e+00
3.192639350891113281e-02,2.399176645180779222e+00
3.399729728698730469e-02,2.402126479402360903e+00
3.600072860717773438e-02,2.407514739932386849e+00
3.795504570007324219e-02,2.411099959743018051e+00
4.007625579833984375e-02,2.420492460786397348e+00
4.201483726501464844e-02,2.419088771234604085e+00
4.394364356994628906e-02,2.427653959709878073e+00
4.601168632507324219e-02,2.430447033697013204e+00
4.794669151306152344e-02,2.438705258215100535e+00
5.000567436218261719e-02,2.440040998463749666e+00
5.193138122558593750e-02,2.446572476216849701e+00
5.400753021240234375e-02,2.450490289984975867e+00
5.593085289001464844e-02,2.456486517964186600e+00
5.799508094787597656e-02,2.462570960828180500e+00
6.000089645385742188e-02,2.467310722745743146e+00
6.192421913146972656e-02,2.472505268157156433e+00
6.403088569641113281e-02,2.476982173559924671e+00
6.597352027893066406e-02,2.478328642645912350e+00
6.803703308105468750e-02,2.484116850390058584e+00
6.996870040893554688e-02,2.479964790340040803e+00
7.215714454650878906e-02,2.491672336062471516e+00
7.422471046447753906e-02,2.488748131841198585e+00
7.707095146179199219e-02,2.482688722930994185e+00
7.930970191955566406e-02,2.484349904578912582e+00
8.201265335083007812e-02,2.485795317387022862e+00
8.404636383056640625e-02,2.495053707963670320e+00
8.706974983215332031e-02,2.460707123363867321e+00
8.904719352722167969e-02,2.455135280506048456e+00
9.095692634582519531e-02,2.485896049248701445e+00
9.286713600158691406e-02,2.493805586553285991e+00
9.485626220703125000e-02,2.499532997552513791e+00
9.688949584960937500e-02,2.506062091119538593e+00
9.890198707580566406e-02,2.490992843031030191e+00
1.008846759796142578e-01,2.501669824322441116e+00
1.028635501861572266e-01,2.502098381769464197e+00
1.048851013183593750e-01,2.514435948662274711e+00
1.068663597106933594e-01,2.513877453074151447e+00
1.088712215423583984e-01,2.522849145275252614e+00
1.108984947204589844e-01,2.529162470002468854e+00
1.129872798919677734e-01,2.529431286982451343e+00
1.149530410766601562e-01,2.501335442225389727e+00
1.169068813323974609e-01,2.529223266747387289e+00
1.189100742340087891e-01,2.532503310740388702e+00
1.209156513214111328e-01,2.540055816180207149e+00
1.228642463684082031e-01,2.539785211060668235e+00
1.248416900634765625e-01,2.590500425159981912e+00
1.268346309661865234e-01,2.608319831886271256e+00
1.288430690765380859e-01,2.626198247217923054e+00
1.308383941650390625e-01,2.638070897826063188e+00
1.328380107879638672e-01,2.653575855919820814e+00
1.348371505737304688e-01,2.666415890027986624e+00
1.368367671966552734e-01,2.678232512263359233e+00
1.388363838195800781e-01,2.691096388232277370e+00
1.408367156982421875e-01,2.702334249297886792e+00
1.428363323211669922e-01,2.712847913843144720e+00
1.448404788970947266e-01,2.722482409773160139e+00
1.468362808227539062e-01,2.725950804466104938e+00
1.488435268402099609e-01,2.736121742263048162e+00
1.508362293243408203e-01,2.739389865325673412e+00
1.528360843658447266e-01,2.747854917985787182e+00
1.548347473144531250e-01,2.753731936661235835e+00
1.568360328674316406e-01,2.761763663502176058e+00
1.588349342346191406e-01,2.766377659604270622e+00
1.608355045318603516e-01,2.771329614082528980e+00
1.628351211547851562e-01,2.774797412728954971e+00
1.648352146148681641e-01,2.777222726013985454e+00
1.668343544006347656e-01,2.778179976723191391e+00
1.688344478607177734e-01,2.780953977221724660e+00
1.708338260650634766e-01,2.781280014667512734e+00
1.728346347808837891e-01,2.782935235850243050e+00
1.748330593109130859e-01,2.783065770037862041e+00
1.768341064453125000e-01,2.784370515867533147e+00
1.788325309753417969e-01,2.783554528183284749e+00
1.808331012725830078e-01,2.782937023989799474e+00
1.828334331512451172e-01,2.780870530709091515e+00
1.848318576812744141e-01,2.778867814405896031e+00
1.868298053741455078e-01,2.775647971111294243e+00
1.888372898101806641e-01,2.774694892727719964e+00
1.908340454101562500e-01,2.768913241495280619e+00
1.928322315216064453e-01,2.767474981245396481e+00
