time_s,voltage_v
1.952409744262695312e-03,2.559565610833836935e+00
3.938198089599609375e-03,2.553422159364481026e+00
5.933523178100585938e-03,2.552954858893735413e+00
7.929086685180664062e-03,2.550300663745482588e+00
9.931325912475585938e-03,2.549915617694332504e+00
1.192855834960937500e-02,2.548024362090154149e+00
1.392960548400878906e-02,2.546633189515255413e+00
1.592803001403808594e-02,2.545583551595634209e+00
1.793074607849121094e-02,2.543245261102349719e+00
1.992726325988769531e-02,2.543047969704624212e+00
2.192807197570800781e-02,2.540699546420519983e+00
2.392792701721191406e-02,2.539031212214375888e+00
2.593064308166503906e-02,2.538895909654606431e+00
2.792787551879882812e-02,2.536906902421343535e+00
2.992916107177734375e-02,2.535310093797456421e+00
3.192830085754394531e-02,2.534429137042657931e+00
3.392839431762695312e-02,2.533800904011834110e+00
3.592753410339355469e-02,2.532292906319249415e+00
3.792858123779296875e-02,2.531979981896875120e+00
3.992724418640136719e-02,2.531460825378993196e+00
4.192900657653808594e-02,2.529408637214736633e+00
4.392886161804199219e-02,2.528261843712549695e+00
4.593205451965332031e-02,2.527153197187566480e+00
4.792571067810058594e-02,2.526234093455564267e+00
4.992866516113281250e-02,2.522366943641536796e+00
5.192780494689941406e-02,2.522985639928059687e+00
5.392861366271972656e-02,2.522229256895692107e+00
5.592751502990722656e-02,2.521304788745020620e+00
5.792832374572753906e-02,2.519963088031183407e+00
5.992698669433593750e-02,2.519175114533318993e+00
6.193065643310546875e-02,2.518533768479081392e+00
6.392765045166015625e-02,2.517057361251993530e+00
6.592941284179687500e-02,2.516870202645087762e+00
6.792688369750976562e-02,2.515313329137960352e+00
6.992888450622558594e-02,2.515580357978386417e+00
7.194042205810546875e-02,2.514815034248236714e+00
7.393550872802734375e-02,2.512134017006637521e+00
7.592988014221191406e-02,2.513138951437348112e+00
7.792997360229492188e-02,2.511781157467503078e+00
7.992887496948242188e-02,2.511611284209642747e+00
8.194494247436523438e-02,2.511583270023258763e+00
8.393859863281250000e-02,2.510202230239180210e+00
8.594202995300292969e-02,2.510784567688055802e+00
8.794283866882324219e-02,2.509141863482220458e+00
8.994674682617187500e-02,2.509319485344825296e+00
9.194111824035644531e-02,2.509882153258580217e+00
9.394168853759765625e-02,2.509025038364534055e+00
9.594082832336425781e-02,2.509400547671383208e+00
9.794163703918457031e-02,2.508222163703699437e+00
9.994721412658691406e-02,2.508548797196006319e+00
1.019456386566162109e-01,2.506349385541604136e+00
1.039414405822753906e-01,2.507904470909174677e+00
1.059429645538330078e-01,2.507376969740029438e+00
1.079397201538085938e-01,2.507578433463386602e+00
1.099417209625244141e-01,2.508656085569391792e+00
1.119403839111328125e-01,2.508533896033036115e+00
1.139409542083740234e-01,2.510314883031234956e+00
1.159400939941406250e-01,2.510041893725620810e+00
1.179463863372802734e-01,2.510633767918797332e+00
1.199436187744140625e-01,2.507224977877733352e+00
1.219410896301269531e-01,2.509190143250243921e+00
1.239399909973144531e-01,2.510223091867338496e+00
