time_s,voltage_v
1.975059509277343750e-03,2.494152485627232352e+00
3.996610641479492188e-03,2.496869861706478844e+00
5.984067916870117188e-03,2.493758498878300145e+00
7.996320724487304688e-03,2.505494654833633206e+00
9.977340698242187500e-03,2.503685653649050380e+00
1.199007034301757812e-02,2.513020934226624092e+00
1.397681236267089844e-02,2.513047756319970460e+00
1.596331596374511719e-02,2.517637910561312697e+00
1.797008514404296875e-02,2.524301710641588148e+00
2.005910873413085938e-02,2.526997629046157545e+00
2.198147773742675781e-02,2.522831859926207176e+00
2.394485473632812500e-02,2.565430112532390616e+00
2.592825889587402344e-02,2.584669302066481489e+00
2.792525291442871094e-02,2.598681759677142988e+00
2.992796897888183594e-02,2.612853957754845524e+00
3.192543983459472656e-02,2.625108078135022893e+00
3.392481803894042969e-02,2.636866883858070665e+00
3.592395782470703125e-02,2.646268325599232529e+00
3.792524337768554688e-02,2.658462841327529080e+00
3.992438316345214844e-02,2.667183001897692751e+00
4.192709922790527344e-02,2.676873526200476583e+00
4.394912719726562500e-02,2.684998236298350882e+00
4.596424102783203125e-02,2.680973730203358052e+00
4.793739318847656250e-02,2.687106452835375414e+00
4.992508888244628906e-02,2.696528756204695121e+00
5.192399024963378906e-02,2.703349912565936375e+00
5.392527580261230469e-02,2.699009501815974765e+00
5.592584609985351562e-02,2.698244774132343871e+00
5.792522430419921875e-02,2.702471339997212674e+00
5.992412567138671875e-02,2.703687274895581805e+00
6.192636489868164062e-02,2.705144012587548996e+00
6.392931938171386719e-02,2.705757940501921421e+00
6.593012809753417969e-02,2.704888308630980287e+00
6.792807579040527344e-02,2.705176795146083446e+00
6.992912292480468750e-02,2.705133283750210449e+00
7.192635536193847656e-02,2.704614723278847332e+00
7.392907142639160156e-02,2.703746879547462623e+00
7.592773437500000000e-02,2.701542103474390721e+00
7.792925834655761719e-02,2.700595581602523332e+00
7.992887496948242188e-02,2.697013342024486171e+00
8.192896842956542969e-02,2.695524417820503338e+00
8.392834663391113281e-02,2.692272984060404717e+00
8.592844009399414062e-02,2.689757071704515390e+00
8.792805671691894531e-02,2.686114631428078603e+00
8.992886543273925781e-02,2.679511628092721587e+00
9.192800521850585938e-02,2.666787823055722928e+00
9.392881393432617188e-02,2.669145783084128087e+00
9.592795372009277344e-02,2.664731462565834708e+00
9.792947769165039062e-02,2.661422808339930501e+00
9.992742538452148438e-02,2.656522709908808455e+00
1.019289493560791016e-01,2.653375584289501266e+00
1.039285659790039062e-01,2.649795728897539338e+00
1.059286594390869141e-01,2.645240741400807227e+00
1.079273223876953125e-01,2.641650157171506752e+00
1.099283695220947266e-01,2.636686281762871786e+00
1.119298934936523438e-01,2.616514875473365365e+00
1.139469146728515625e-01,2.621243312507070655e+00
1.159360408782958984e-01,2.613767697068178464e+00
1.179292201995849609e-01,2.611672593554567712e+00
1.199247837066650391e-01,2.605502916038383798e+00
1.219265460968017578e-01,2.603071046241646425e+00
1.239290237426757812e-01,2.598907661307771289e+00
1.259288787841796875e-01,2.595128130332008620e+00
1.279284954071044922e-01,2.591645430522612426e+00
1.299295425415039062e-01,2.586681555113977904e+00
1.319267749786376953e-01,2.581841657381255484e+00
1.339287757873535156e-01,2.565276332530538106e+00
1.359279155731201172e-01,2.571289845858793832e+00
1.379292011260986328e-01,2.578844139438169147e+00
1.399276256561279297e-01,2.576961228485253663e+00
1.419289112091064453e-01,2.577267596395921068e+00
1.439280509948730469e-01,2.575881192193173241e+00
1.459288597106933594e-01,2.575537273351820922e+00
1.479275226593017578e-01,2.573893377052947962e+00
1.499288082122802734e-01,2.572107025636079847e+00
1.519279479980468750e-01,2.572092124473109642e+00
1.539285182952880859e-01,2.553796476578292562e+00
1.559274196624755859e-01,2.563007183433435365e+00
1.579284667968750000e-01,2.562234111098541156e+00
1.599767208099365234e-01,2.560051984793184410e+00
1.620037555694580078e-01,2.543328707614982864e+00
1.639552116394042969e-01,2.509578765580506854e+00
1.660320758819580078e-01,2.493203579569289730e+00
1.679885387420654297e-01,2.479887900339114548e+00
1.700036525726318359e-01,2.460313732661453923e+00
1.718845367431640625e-01,2.489497362315340467e+00
1.739351749420166016e-01,2.495673596343230827e+00
1.759247779846191406e-01,2.484539447371894028e+00
1.779279708862304688e-01,2.496296464955385375e+00
1.799299716949462891e-01,2.497558891482221100e+00
1.819355487823486328e-01,2.500781715009416928e+00
1.839251518249511719e-01,2.501944601767611687e+00
1.859271526336669922e-01,2.502391636656717822e+00
1.879291534423828125e-01,2.504989207385683869e+00
1.899287700653076172e-01,2.507971824165800001e+00
1.919276714324951172e-01,2.510540784661863256e+00
1.939296722412109375e-01,2.511895598399114249e+00
1.959247589111328125e-01,2.499193251036793129e+00
1.979260444641113281e-01,2.510660590012143700e+00
1.999282836914062500e-01,2.511472405370760441e+00
2.019293308258056641e-01,2.514815630294755522e+00
2.039234638214111328e-01,2.516467275198373432e+00
2.059259414672851562e-01,2.519762220354345050e+00
2.079288959503173828e-01,2.520901861298306290e+00
2.099363803863525391e-01,2.523569765516491703e+00
2.119278907775878906e-01,2.525718513216795191e+00
2.139296531677246094e-01,2.527450624400451762e+00
2.159276008605957031e-01,2.526797357415837997e+00
2.179284095764160156e-01,2.512864770038696349e+00
2.199275493621826172e-01,2.526308003223896481e+00
2.219281196594238281e-01,2.528704706276024172e+00
2.239274978637695312e-01,2.530367676063498994e+00
2.259287834167480469e-01,2.532605234695104901e+00
2.279276847839355469e-01,2.534005944014304124e+00
2.299289703369140625e-01,2.535713617290689559e+00
2.319278717041015625e-01,2.537293140565531235e+00
2.339291572570800781e-01,2.539008562446661177e+00
2.359285354614257812e-01,2.540644710140789631e+00
2.379291057586669922e-01,2.526712122763648427e+00
2.399268150329589844e-01,2.536654774743887675e+00
2.419285774230957031e-01,2.537829582432458597e+00
2.439272403717041016e-01,2.539403741288631000e+00
2.459290027618408203e-01,2.541008298517262620e+00
2.479269504547119141e-01,2.541610305501258882e+00
2.499284744262695312e-01,2.542704050863271892e+00
2.519268989562988281e-01,2.542232578066894622e+00
2.539300918579101562e-01,2.543425267151029789e+00
2.559275627136230469e-01,2.544389074371942616e+00
2.579288482666015625e-01,2.543423479011473365e+00
2.599272727966308594e-01,2.527540627424791797e+00
2.619280815124511719e-01,2.539838855247360971e+00
2.639315128326416016e-01,2.540696566187925942e+00
2.659318447113037109e-01,2.537017171027323048e+00
2.679271697998046875e-01,2.539885346875828009e+00
2.699284553527832031e-01,2.540700142467038791e+00
2.719275951385498047e-01,2.541293804799771738e+00
2.739286422729492188e-01,2.541719382014200779e+00
2.759277820587158203e-01,2.541377847358923692e+00
2.779834270477294922e-01,2.541916673411926286e+00
2.800283432006835938e-01,2.492958008403540759e+00
2.819218635559082031e-01,2.501398027109864586e+00
2.839338779449462891e-01,2.518630328015128317e+00
2.859656810760498047e-01,2.519339027325991243e+00
2.879583835601806641e-01,2.495804130530849818e+00
2.899332046508789062e-01,2.508832515338959013e+00
2.919297218322753906e-01,2.512539924685945891e+00
2.939300537109375000e-01,2.514438332848349944e+00
2.959277629852294922e-01,2.515080870995625162e+00
2.979316711425781250e-01,2.516532840315442332e+00
2.999291419982910156e-01,2.516050042635207706e+00
3.019535541534423828e-01,2.513673605164719049e+00
3.039641380310058594e-01,2.500735819427468698e+00
3.059434890747070312e-01,2.490409909535635791e+00
3.079564571380615234e-01,2.483654318291463436e+00
3.099436759948730469e-01,2.454915339340608238e+00
3.119604587554931641e-01,2.443845563393302278e+00
3.140184879302978516e-01,2.441320710339630828e+00
3.159158229827880859e-01,2.443726950136059450e+00
3.179638385772705078e-01,2.477745113103999142e+00
3.199460506439208984e-01,2.465352113884939467e+00
3.219311237335205078e-01,2.490501700699532250e+00
3.239371776580810547e-01,2.498725354519528707e+00
3.260085582733154297e-01,2.501588165949364395e+00
3.279368877410888672e-01,2.463268335255186070e+00
3.299589157104492188e-01,2.498913109172953284e+00
3.319449424743652344e-01,2.508946360224051375e+00
3.339443206787109375e-01,2.517239155440230025e+00
3.359396457672119141e-01,2.524680200181031342e+00
3.379435539245605469e-01,2.529846731406060645e+00
3.399446010589599609e-01,2.535171214958574115e+00
3.419439792633056641e-01,2.542063896902071907e+00
3.439421653747558594e-01,2.548360532326761962e+00
3.459427356719970703e-01,2.553772634717540235e+00
3.479418754577636719e-01,2.560196824097254797e+00
3.499419689178466797e-01,2.564623661592443149e+00
3.519423007965087891e-01,2.569914766539903361e+00
3.539419174194335938e-01,2.574492999850868991e+00
3.559370040893554688e-01,2.579305479443726679e+00
3.579416275024414062e-01,2.582311342038076329e+00
3.599424362182617188e-01,2.586285184178970464e+00
3.619472980499267578e-01,2.590077232131628104e+00
3.639383316040039062e-01,2.589257668168266857e+00
3.659396171569824219e-01,2.593493174730917783e+00
3.679428100585937500e-01,2.597058725006428315e+00
3.699452877044677734e-01,2.600088429461530293e+00
3.719420433044433594e-01,2.597293567334838738e+00
3.739418983459472656e-01,2.603292179500124259e+00
3.759400844573974609e-01,2.606297446047955102e+00
3.779423236846923828e-01,2.606545401399779305e+00
3.799417018890380859e-01,2.609662724693146529e+00
3.819429874420166016e-01,2.611813856579525250e+00
3.839421272277832031e-01,2.612931443802290588e+00
3.859422206878662109e-01,2.614568783589456658e+00
3.879420757293701172e-01,2.616522624078109871e+00
3.899426460266113281e-01,2.617765977116343734e+00
3.919415473937988281e-01,2.619207217598821913e+00
3.939423561096191406e-01,2.619154169458647985e+00
3.959405422210693359e-01,2.620513751568049443e+00
3.979420661926269531e-01,2.619996979236242751e+00
