time_s,voltage_v
2.093076705932617188e-03,2.509622276976379851e+00
4.001855850219726562e-03,2.500519454541141329e+00
5.895137786865234375e-03,2.490752040237431686e+00
8.037090301513671875e-03,2.489961086506973231e+00
9.993791580200195312e-03,2.467026408556271644e+00
1.197576522827148438e-02,2.472550567692585854e+00
1.405787467956542969e-02,2.475143966095920245e+00
1.597237586975097656e-02,2.476918992628931004e+00
1.798415184020996094e-02,2.458172137519376133e+00
1.994037628173828125e-02,2.458130414263059560e+00
2.192878723144531250e-02,2.461245353370351108e+00
2.392816543579101562e-02,2.463493044792776754e+00
2.594351768493652344e-02,2.461272771510216284e+00
2.804350852966308594e-02,2.463559802002883270e+00
2.996993064880371094e-02,2.448028021815779276e+00
3.202509880065917969e-02,2.446354323190965907e+00
3.392720222473144531e-02,2.436880759821028697e+00
3.599691390991210938e-02,2.439710192645811127e+00
3.798341751098632812e-02,2.426929167143007327e+00
4.001259803771972656e-02,2.427106192959093356e+00
4.189729690551757812e-02,2.416641404228377699e+00
4.402899742126464844e-02,2.422976186630271478e+00
4.593563079833984375e-02,2.373416110684408054e+00
4.794549942016601562e-02,2.395168828388313020e+00
4.992771148681640625e-02,2.407414604117227075e+00
5.192875862121582031e-02,2.407589841793756680e+00
5.392861366271972656e-02,2.405153799671387649e+00
5.594420433044433594e-02,2.409073401579070239e+00
5.799293518066406250e-02,2.410108734382240048e+00
5.998349189758300781e-02,2.412491132317916342e+00
6.203699111938476562e-02,2.414992143510835465e+00
6.399846076965332031e-02,2.386361645026402911e+00
6.592774391174316406e-02,2.393147038596515674e+00
6.795573234558105469e-02,2.403030681971392912e+00
6.993103027343750000e-02,2.414095689546547963e+00
7.192802429199218750e-02,2.424505045951014459e+00
7.392668724060058594e-02,2.431305936730615791e+00
7.592988014221191406e-02,2.439205341244380598e+00
7.792401313781738281e-02,2.445624166205425887e+00
7.992720603942871094e-02,2.452513867916329637e+00
8.192491531372070312e-02,2.458809907294500885e+00
8.392739295959472656e-02,2.465784843657594205e+00
8.592462539672851562e-02,2.471370395585345658e+00
8.792662620544433594e-02,2.477298078214893007e+00
8.992505073547363281e-02,2.482056317574538706e+00
9.192633628845214844e-02,2.487047611123038848e+00
9.393262863159179688e-02,2.492363153977770196e+00
9.593915939331054688e-02,2.488093672763547204e+00
9.792399406433105469e-02,2.498137056605465034e+00
9.992647171020507812e-02,2.504311502493798969e+00
1.019213199615478516e-01,2.507915795793032032e+00
1.039240360260009766e-01,2.512634100035917584e+00
1.059236526489257812e-01,2.513998450517469507e+00
1.079237461090087891e-01,2.519998254775793090e+00
1.099295616149902344e-01,2.520703377807543166e+00
1.119267940521240234e-01,2.525780502054751242e+00
1.139247417449951172e-01,2.529719773497554502e+00
1.159267425537109375e-01,2.531886402593422236e+00
1.179249286651611328e-01,2.533572618195130577e+00
1.199269294738769531e-01,2.536684577069828084e+00
1.219260692596435547e-01,2.539093797098850747e+00
1.239271163940429688e-01,2.541328971544381421e+00
1.259257793426513672e-01,2.542810743190138556e+00
1.279273033142089844e-01,2.545023863914473328e+00
1.299245357513427734e-01,2.545591300200378715e+00
1.319267749786376953e-01,2.547206586266349326e+00
1.339251995086669922e-01,2.549260562570162314e+00
1.359262466430664062e-01,2.549663490016876644e+00
1.379246711730957031e-01,2.550566500492871036e+00
1.399264335632324219e-01,2.551744884460554808e+00
1.419246196746826172e-01,2.552155560512013643e+00
1.439266204833984375e-01,2.552914327730456456e+00
1.459245681762695312e-01,2.552785581682393889e+00
1.479265689849853516e-01,2.553222483780680285e+00
1.499245166778564453e-01,2.551740116088404342e+00
1.519269943237304688e-01,2.552483386097358142e+00
1.539249420166015625e-01,2.552080458650643813e+00
1.559267044067382812e-01,2.551473087247978278e+00
1.579632759094238281e-01,2.551099962127204357e+00
1.600215435028076172e-01,2.523848119240775123e+00
1.619639396667480469e-01,2.494660913307775729e+00
1.640298366546630859e-01,2.480718193139814343e+00
1.659803390502929688e-01,2.469085749278753905e+00
1.679737567901611328e-01,2.450591617893173257e+00
1.699733734130859375e-01,2.484805284119282476e+00
1.719994544982910156e-01,2.467396553444451524e+00
1.739470958709716797e-01,2.469153698581898038e+00
1.760902404785156250e-01,2.475337085168014095e+00
1.790812015533447266e-01,2.394647883730874671e+00
1.811139583587646484e-01,2.395355986995218789e+00
1.839692592620849609e-01,2.343108337296049282e+00
