time_s,voltage_v
1.957893371582031250e-03,2.450560027427676424e+00
3.943920135498046875e-03,2.443087988267897082e+00
5.967617034912109375e-03,2.444235973863121636e+00
7.985591888427734375e-03,2.436487369118615298e+00
9.958267211914062500e-03,2.414334108154071235e+00
1.192545890808105469e-02,2.432045034413937934e+00
1.393032073974609375e-02,2.435862116320385518e+00
1.592755317687988281e-02,2.437331967035766489e+00
1.792931556701660156e-02,2.438286833558897193e+00
1.992821693420410156e-02,2.438538365189834245e+00
2.192902565002441406e-02,2.439486675201258059e+00
2.392721176147460938e-02,2.440296702420318375e+00
2.596330642700195312e-02,2.441093020569446104e+00
2.798175811767578125e-02,2.428355506462515301e+00
2.995753288269042969e-02,2.422273447784596634e+00
3.198289871215820312e-02,2.429742506711781935e+00
3.398728370666503906e-02,2.418990423559000735e+00
3.600454330444335938e-02,2.419370701238000354e+00
3.791165351867675781e-02,2.408791471575673970e+00
4.000043869018554688e-02,2.409121085300574894e+00
4.191827774047851562e-02,2.398342776100966578e+00
4.399442672729492188e-02,2.402717757549018618e+00
4.599356651306152344e-02,2.383420155456084544e+00
4.800868034362792969e-02,2.386427210143471811e+00
4.999995231628417969e-02,2.387649701553547388e+00
5.189824104309082031e-02,2.371384784148309777e+00
5.395889282226562500e-02,2.391501950204605098e+00
5.594730377197265625e-02,2.386033819441058412e+00
5.794286727905273438e-02,2.384771988960741496e+00
5.994272232055664062e-02,2.387516187133334356e+00
6.194353103637695312e-02,2.392610596729588313e+00
6.394457817077636719e-02,2.391156839270215162e+00
6.600832939147949219e-02,2.389405654597956286e+00
6.799793243408203125e-02,2.366683765254469662e+00
6.995797157287597656e-02,2.366565748043745643e+00
7.200527191162109375e-02,2.387180612943245350e+00
7.396316528320312500e-02,2.369745656221587282e+00
7.596302032470703125e-02,2.378697082841048527e+00
7.794380187988281250e-02,2.399112272156747938e+00
7.994365692138671875e-02,2.401537585441778422e+00
8.194231986999511719e-02,2.409926344147484745e+00
8.395195007324218750e-02,2.415008236766843286e+00
8.594632148742675781e-02,2.419994761943192518e+00
8.794116973876953125e-02,2.426413586904238251e+00
8.994269371032714844e-02,2.431398919987549867e+00
9.194207191467285156e-02,2.436877183541915848e+00
9.394216537475585938e-02,2.441111498011529157e+00
9.594178199768066406e-02,2.446215444352083601e+00
9.794235229492187500e-02,2.450728708592499139e+00
9.995245933532714844e-02,2.455236012367727039e+00
1.019520759582519531e-01,2.449971729513612750e+00
1.039447784423828125e-01,2.460896070110329514e+00
1.059443950653076172e-01,2.463678415260126098e+00
1.079382896423339844e-01,2.467795904612053004e+00
1.099414825439453125e-01,2.471920546522205608e+00
1.119434833526611328e-01,2.473981079337725486e+00
1.139433383941650391e-01,2.477068600305151858e+00
1.159422397613525391e-01,2.480157909412134654e+00
1.185691356658935547e-01,2.480141220109608025e+00
1.208369731903076172e-01,2.472224530246797780e+00
1.228358745574951172e-01,2.477003631234601766e+00
1.248354911804199219e-01,2.476867136581794693e+00
1.268277168273925781e-01,2.475930747500747042e+00
1.288249492645263672e-01,2.476529774252149263e+00
1.308286190032958984e-01,2.478185591481398387e+00
1.328272819519042969e-01,2.478419241716771193e+00
1.348936557769775391e-01,2.479185757539958512e+00
1.368944644927978516e-01,2.432890824424126741e+00
1.389205455780029297e-01,2.424610546184843507e+00
1.409018039703369141e-01,2.413918663730461933e+00
1.429162025451660156e-01,2.402894187318585839e+00
1.448361873626708984e-01,2.409764815540887728e+00
1.468274593353271484e-01,2.437470845874648795e+00
1.488389968872070312e-01,2.440605454517061013e+00
1.508417129516601562e-01,2.444248490840016608e+00
1.528358459472656250e-01,2.446008020163538355e+00
1.548380851745605469e-01,2.449925237885145712e+00
1.568350791931152344e-01,2.450973087665210493e+00
1.588351726531982422e-01,2.454328233519582181e+00
1.608352661132812500e-01,2.456223065402873384e+00
1.628370285034179688e-01,2.459985907076109424e+00
1.648347377777099609e-01,2.460586125920549261e+00
1.668350696563720703e-01,2.463413174559256458e+00
1.688339710235595703e-01,2.464874084576855306e+00
1.708343029022216797e-01,2.467185552976793428e+00
1.728341579437255859e-01,2.469029124859467128e+00
1.749045848846435547e-01,2.471596297215973959e+00
1.769146919250488281e-01,2.452378565356560181e+00
1.788477897644042969e-01,2.416997840046624990e+00
1.808331012725830078e-01,2.455371910974015304e+00
1.828882694244384766e-01,2.460078294286524692e+00
1.849386692047119141e-01,2.452655726987805984e+00
1.869058609008789062e-01,2.428249410182167445e+00
1.888554096221923828e-01,2.427892378317401345e+00
1.909179687500000000e-01,2.440852813822366407e+00
1.928873062133789062e-01,2.403186846159320655e+00
1.948785781860351562e-01,2.415650178867599696e+00
1.968376636505126953e-01,2.436642341213505425e+00
1.988356113433837891e-01,2.443090968500491122e+00
2.008354663848876953e-01,2.446678572497197557e+00
2.028346061706542969e-01,2.450470620449855197e+00
2.048316001892089844e-01,2.453016335131684933e+00
2.068350315093994141e-01,2.457913453330213382e+00
2.088336944580078125e-01,2.460731561271138457e+00
2.108337879180908203e-01,2.464774544808214340e+00
2.128336429595947266e-01,2.467101510417641475e+00
2.148332595825195312e-01,2.469576891610251845e+00
2.168331146240234375e-01,2.473625835612515811e+00
2.188327312469482422e-01,2.476105985177276647e+00
2.208323478698730469e-01,2.479386029170278061e+00
2.228319644927978516e-01,2.482297716414656019e+00
2.248318195343017578e-01,2.484470305975712279e+00
2.268328666687011719e-01,2.486365733905522291e+00
2.288324832916259766e-01,2.488417326023260046e+00
2.308323383331298828e-01,2.490755616516544535e+00
2.328314781188964844e-01,2.491833864669068532e+00
2.348318099975585938e-01,2.493847905856121372e+00
2.368316650390625000e-01,2.494038044695621181e+00
2.388317584991455078e-01,2.495978772160860615e+00
2.408311367034912109e-01,2.497048079615602489e+00
2.428314685821533203e-01,2.498472630795554039e+00
2.448313236236572266e-01,2.499778568718262761e+00
2.468307018280029297e-01,2.500675618729069072e+00
2.488298416137695312e-01,2.501666844089847075e+00
2.508301734924316406e-01,2.502175867816909260e+00
2.528302669525146484e-01,2.502798140382545000e+00
2.548308372497558594e-01,2.504062355048937150e+00
2.568297386169433594e-01,2.505086362968249603e+00
2.588300704956054688e-01,2.505865395768331894e+00
2.608287334442138672e-01,2.505135238782791873e+00
2.628314495086669922e-01,2.505957782978747161e+00
2.648277282714843750e-01,2.504787743662326704e+00
2.668294906616210938e-01,2.504890263663561711e+00
2.688291072845458984e-01,2.505307496226727437e+00
2.708287239074707031e-01,2.505179346225183679e+00
2.728285789489746094e-01,2.505284250412493918e+00
2.748289108276367188e-01,2.505463064368136372e+00
2.768282890319824219e-01,2.504310310400761352e+00
2.788283824920654297e-01,2.504891455756599328e+00
2.808282375335693359e-01,2.504020631792620577e+00
2.828273773193359375e-01,2.504656613428188905e+00
2.848272323608398438e-01,2.504292429005197107e+00
2.868280410766601562e-01,2.502970993872999372e+00
2.888271808624267578e-01,2.501848638278083570e+00
2.908267974853515625e-01,2.501531541530077618e+00
2.928276062011718750e-01,2.501227557805485446e+00
2.948267459869384766e-01,2.500664889891730525e+00
2.968270778656005859e-01,2.500706017101528289e+00
2.988269329071044922e-01,2.500346601050686957e+00
3.008265495300292969e-01,2.498791515683116415e+00
3.028261661529541016e-01,2.499453127318993495e+00
3.048260211944580078e-01,2.498377263352544730e+00
3.068261146545410156e-01,2.496933042637472511e+00
3.088257312774658203e-01,2.496097981464622251e+00
3.108255863189697266e-01,2.495583593318890792e+00
3.128254413604736328e-01,2.494846879821643881e+00
3.148252964019775391e-01,2.494721114006175355e+00
3.168249130249023438e-01,2.493049203520918411e+00
3.188257217407226562e-01,2.493973075625071090e+00
3.208246231079101562e-01,2.493066488869963848e+00
3.228294849395751953e-01,2.492062746532290873e+00
3.248260021209716797e-01,2.486642299490249286e+00
3.268249034881591797e-01,2.489176689288221667e+00
3.288354873657226562e-01,2.488832174400350539e+00
3.308229446411132812e-01,2.487827836016158756e+00
3.328211307525634766e-01,2.488314806022025039e+00
3.348243236541748047e-01,2.487426100662482042e+00
3.368232250213623047e-01,2.485915122737303307e+00
3.388240337371826172e-01,2.486634550885504780e+00
3.408231735229492188e-01,2.485304175055524922e+00
3.428237438201904297e-01,2.485132513658108167e+00
3.448224067687988281e-01,2.483914790620182611e+00
3.468222618103027344e-01,2.484179435274533443e+00
3.488221168518066406e-01,2.483042178516647436e+00
3.508224487304687500e-01,2.482844291072403120e+00
3.528227806091308594e-01,2.482210097576391217e+00
3.548223972320556641e-01,2.482198176646015053e+00
3.568220138549804688e-01,2.482618389441774820e+00
3.588216304779052734e-01,2.481531796637987508e+00
3.608214855194091797e-01,2.481750545710390110e+00
3.628218173980712891e-01,2.480958995933412847e+00
3.648214340209960938e-01,2.481816706873977818e+00
3.668212890625000000e-01,2.480259237320332044e+00
3.688209056854248047e-01,2.479881939873926466e+00
3.708202838897705078e-01,2.480781374070808010e+00
3.728203773498535156e-01,2.480281887088046755e+00
3.748202323913574219e-01,2.480544147556322354e+00
3.768198490142822266e-01,2.480190095924150295e+00
3.788194656372070312e-01,2.480018434526733540e+00
3.808195590972900391e-01,2.480404672670921240e+00
3.828191757202148438e-01,2.480101881039366685e+00
3.848192691802978516e-01,2.478699383580611038e+00
3.868198394775390625e-01,2.478582558462924634e+00
3.888194561004638672e-01,2.478496131717697448e+00
3.908193111419677734e-01,2.479325232425359626e+00
3.928186893463134766e-01,2.479642329173365578e+00
3.948190212249755859e-01,2.479399738240210649e+00
3.968183994293212891e-01,2.478484806833840093e+00
3.988187313079833984e-01,2.478103337061802858e+00
4.008185863494873047e-01,2.477854785663459847e+00
4.028182029724121094e-01,2.478247580319354437e+00
4.048180580139160156e-01,2.478267845900993915e+00
4.068179130554199219e-01,2.478424010088921658e+00
4.088168144226074219e-01,2.478611168695827427e+00
4.108180999755859375e-01,2.477709946359389459e+00
4.128174781799316406e-01,2.478522953811043816e+00
4.148168563842773438e-01,2.478845414977719042e+00
4.168164730072021484e-01,2.478479442415170819e+00
4.188163280487060547e-01,2.478450236135749218e+00
4.208161830902099609e-01,2.479033765677662426e+00
4.228181838989257812e-01,2.478062805898523902e+00
4.248163700103759766e-01,2.478473481949982737e+00
4.268164634704589844e-01,2.478490171252509366e+00
4.288156032562255859e-01,2.478040156130809191e+00
4.308161735534667969e-01,2.478238639621572315e+00
4.328157901763916016e-01,2.478151616829826320e+00
4.348256587982177734e-01,2.479058203584933562e+00
4.368181228637695312e-01,2.471630867914064833e+00
4.388155937194824219e-01,2.477070984491227090e+00
4.408144950866699219e-01,2.476907071698554841e+00
4.428153038024902344e-01,2.478030619386508260e+00
4.448144435882568359e-01,2.478042540316884423e+00
4.468145370483398438e-01,2.476372417971183904e+00
4.488151073455810547e-01,2.478373942181341771e+00
4.508140087127685547e-01,2.478793558930582730e+00
4.528138637542724609e-01,2.478967008467555910e+00
4.548141956329345703e-01,2.479528484288273216e+00
4.568135738372802734e-01,2.480532822672464999e+00
4.588127136230468750e-01,2.480637726859775238e+00
4.608128070831298828e-01,2.481747565477796069e+00
4.628131389617919922e-01,2.482154665250142056e+00
4.648129940032958984e-01,2.482903895724283938e+00
4.668123722076416016e-01,2.481832204083466831e+00
4.688129425048828125e-01,2.482242880134925667e+00
4.708125591278076172e-01,2.483070192703031420e+00
4.728126525878906250e-01,2.483017740609376300e+00
4.748120307922363281e-01,2.484013138295785961e+00
4.768118858337402344e-01,2.484435139231102596e+00
4.788119792938232422e-01,2.484788594816755847e+00
4.808115959167480469e-01,2.484430966905470939e+00
