time_s,voltage_v
1.970529556274414062e-03,2.542417948534243965e+00
3.943920135498046875e-03,2.533926073780783828e+00
5.967617034912109375e-03,2.534951869839652705e+00
7.985591888427734375e-03,2.525719705309832808e+00
9.953260421752929688e-03,2.505449355298203784e+00
1.193094253540039062e-02,2.516193093799721670e+00
1.394605636596679688e-02,2.521237435488395295e+00
1.598763465881347656e-02,2.516883315668501542e+00
1.795482635498046875e-02,2.505256236226109934e+00
1.992464065551757812e-02,2.509641350464981713e+00
2.192974090576171875e-02,2.511674465140636414e+00
2.392864227294921875e-02,2.512526811662532111e+00
2.592897415161132812e-02,2.513780297491585713e+00
2.796769142150878906e-02,2.513928117028250142e+00
2.997422218322753906e-02,2.497231661943395409e+00
3.198218345642089844e-02,2.498939931266299652e+00
3.397822380065917969e-02,2.485473452266866445e+00
3.597712516784667969e-02,2.487245498567283164e+00
3.797006607055664062e-02,2.479719219174291833e+00
4.019260406494140625e-02,2.481242118029846733e+00
4.305100440979003906e-02,2.446154051560646359e+00
4.502129554748535156e-02,2.441782050345188360e+00
4.691457748413085938e-02,2.444994741081564449e+00
4.889822006225585938e-02,2.447462373669430313e+00
5.092000961303710938e-02,2.434564523048940110e+00
5.291533470153808594e-02,2.434558562583752028e+00
5.493640899658203125e-02,2.427847078781971923e+00
5.685901641845703125e-02,2.436822347262185495e+00
5.887937545776367188e-02,2.451750928372255167e+00
6.085181236267089844e-02,2.451013022781970641e+00
6.286525726318359375e-02,2.456608707500542277e+00
6.488156318664550781e-02,2.460094387542532512e+00
6.690406799316406250e-02,2.439606480551538503e+00
6.885504722595214844e-02,2.445299916899194237e+00
7.086706161499023438e-02,2.462473209199095958e+00
7.285094261169433594e-02,2.464931305042660892e+00
7.485961914062500000e-02,2.470541294877683480e+00
7.685017585754394531e-02,2.473608550263470374e+00
7.886028289794921875e-02,2.478386459158236743e+00
8.084964752197265625e-02,2.481627164080996817e+00
8.286070823669433594e-02,2.486514745535224336e+00
8.484864234924316406e-02,2.489937840692739712e+00
8.686017990112304688e-02,2.493453323060670357e+00
8.884882926940917969e-02,2.497301399386095966e+00
9.086012840270996094e-02,2.500271499189317126e+00
9.284877777099609375e-02,2.504715622033550915e+00
9.486651420593261719e-02,2.508333028356197758e+00
9.689664840698242188e-02,2.504075468072350930e+00
9.903287887573242188e-02,2.475652989822982430e+00
1.010167598724365234e-01,2.462736661760409174e+00
1.029872894287109375e-01,2.455950672143778046e+00
1.049468517303466797e-01,2.449178987643597871e+00
1.068904399871826172e-01,2.440168552418774617e+00
1.088488101959228516e-01,2.481026945236556980e+00
1.108605861663818359e-01,2.486015258552463081e+00
1.128470897674560547e-01,2.483413515497864932e+00
1.148588657379150391e-01,2.489033638123707703e+00
1.168470382690429688e-01,2.493814527251068114e+00
1.188554763793945312e-01,2.499711215461637437e+00
1.208467483520507812e-01,2.503903210628415366e+00
1.228544712066650391e-01,2.509465516741933300e+00
1.248452663421630859e-01,2.513169349809807329e+00
1.268544197082519531e-01,2.517994942426078797e+00
1.288459300994873047e-01,2.521733346192043701e+00
1.308574676513671875e-01,2.524843516927184783e+00
1.328451633453369141e-01,2.524796429252198937e+00
1.348555088043212891e-01,2.522930803648329334e+00
1.368455886840820312e-01,2.527530494633972058e+00
1.388556957244873047e-01,2.532527748647659838e+00
1.408457756042480469e-01,2.535095517050685476e+00
1.428554058074951172e-01,2.539037172679563970e+00
1.448450088500976562e-01,2.541836803178405990e+00
1.468539237976074219e-01,2.545650904852259533e+00
1.488432884216308594e-01,2.548037475113567929e+00
1.508538722991943359e-01,2.550847834449748497e+00
1.528429985046386719e-01,2.552810615636183833e+00
1.548552513122558594e-01,2.551209634686665062e+00
1.568439006805419922e-01,2.547722166505118402e+00
1.588523387908935547e-01,2.552225894001233009e+00
1.608438491821289062e-01,2.554366297050273182e+00
1.628527641296386719e-01,2.556982345221322284e+00
1.648435592651367188e-01,2.558912939895741978e+00
1.668536663055419922e-01,2.561651177603146756e+00
1.688451766967773438e-01,2.563149638551430520e+00
1.711566448211669922e-01,2.564156957168216344e+00
1.738595962524414062e-01,2.521217169906755817e+00
1.758456230163574219e-01,2.535255257517726069e+00
1.787743568420410156e-01,2.493338882129059186e+00
1.808590888977050781e-01,2.501678765020223238e+00
1.835231781005859375e-01,2.527545991843461071e+00
1.854758262634277344e-01,2.489974795576905819e+00
1.878533363342285156e-01,2.495588957737560065e+00
1.898424625396728516e-01,2.517926993122934665e+00
1.918408870697021484e-01,2.521544399445581508e+00
1.938405036926269531e-01,2.525766792984818654e+00
1.958405971527099609e-01,2.524853053671485714e+00
1.978402137756347656e-01,2.524885240183501356e+00
1.998400688171386719e-01,2.528942528837028636e+00
2.018415927886962891e-01,2.532710138882415141e+00
2.038388252258300781e-01,2.536753122419491024e+00
2.058398723602294922e-01,2.539545004313588539e+00
2.078387737274169922e-01,2.542639081792721800e+00
2.098400592803955078e-01,2.545305197871350789e+00
2.118375301361083984e-01,2.546954458588893466e+00
2.138400077819824219e-01,2.548564380236194360e+00
2.158377170562744141e-01,2.551341360967321670e+00
2.178387641906738281e-01,2.544388478325423808e+00
2.198371887207031250e-01,2.550466364677711262e+00
2.218382358551025391e-01,2.553028768662067627e+00
2.238354682922363281e-01,2.553108638895587923e+00
2.258377075195312500e-01,2.556946582430193793e+00
2.278385162353515625e-01,2.557880587325166211e+00
2.298395633697509766e-01,2.559815354325217562e+00
2.318363189697265625e-01,2.561128444806151983e+00
2.338378429412841797e-01,2.562431402496266664e+00
2.358362674713134766e-01,2.563271828087786197e+00
2.378373146057128906e-01,2.560968108292592582e+00
2.398355007171630859e-01,2.558835453848296915e+00
2.418367862701416016e-01,2.561519451322490148e+00
2.438352108001708984e-01,2.562554188079141149e+00
2.458372116088867188e-01,2.564441867404206654e+00
2.478361129760742188e-01,2.563792772745224546e+00
2.498366832733154297e-01,2.565342493694125814e+00
2.518355846405029297e-01,2.564564652987081139e+00
2.538356781005859375e-01,2.564891286479388022e+00
2.558338642120361328e-01,2.566632338360826715e+00
2.578420639038085938e-01,2.566843338828484811e+00
2.598357200622558594e-01,2.552340930979362987e+00
2.618348598480224609e-01,2.559727735486952760e+00
2.638344764709472656e-01,2.560327954331392597e+00
2.658352851867675781e-01,2.561549253648430557e+00
2.678346633911132812e-01,2.558895058500177733e+00
2.698357105255126953e-01,2.560152716654862992e+00
2.718346118927001953e-01,2.553912705649460158e+00
2.738351821899414062e-01,2.558565444775276809e+00
2.758324146270751953e-01,2.559055991060255941e+00
2.778344154357910156e-01,2.558276958260173650e+00
2.798321247100830078e-01,2.554211324955383056e+00
2.818338871002197266e-01,2.549830383042142934e+00
2.838320732116699219e-01,2.553415602852774136e+00
2.858335971832275391e-01,2.552770680519423685e+00
2.878324985504150391e-01,2.551957673067769328e+00
2.898333072662353516e-01,2.552906579125711950e+00
2.918319702148437500e-01,2.551558917946686655e+00
2.938330173492431641e-01,2.551967805858589067e+00
2.958316802978515625e-01,2.552063769348117184e+00
2.978327274322509766e-01,2.551975554463333573e+00
2.998306751251220703e-01,2.551706737483351084e+00
3.018324375152587891e-01,2.538908426631501403e+00
3.038308620452880859e-01,2.546338146488445364e+00
3.058311939239501953e-01,2.546006148577469208e+00
3.078303337097167969e-01,2.545481627640918010e+00
3.098316192626953125e-01,2.546269005092263615e+00
3.118305206298828125e-01,2.544804518795551918e+00
3.138315677642822266e-01,2.544498746931403321e+00
3.158318996429443359e-01,2.542795245980649543e+00
3.178310394287109375e-01,2.543144529240671137e+00
3.198289871215820312e-01,2.542606299234187350e+00
3.218307495117187500e-01,2.538962666864712947e+00
3.238613605499267578e-01,2.536610667301495869e+00
3.258523941040039062e-01,2.504417002727628017e+00
3.278355598449707031e-01,2.488928137889878656e+00
3.298466205596923828e-01,2.479070720561828534e+00
3.318951129913330078e-01,2.469260986955283510e+00
3.338720798492431641e-01,2.476040420060207747e+00
3.359019756317138672e-01,2.496290504490197293e+00
3.378939628601074219e-01,2.469168599744868242e+00
3.398702144622802734e-01,2.467444237165956178e+00
3.418278694152832031e-01,2.504138649003344597e+00
3.438277244567871094e-01,2.509600223255183948e+00
3.458275794982910156e-01,2.513761224002983852e+00
3.478486537933349609e-01,2.520594897341120078e+00
3.498337268829345703e-01,2.505644262509854059e+00
3.518259525299072266e-01,2.525756064147480107e+00
3.538272380828857422e-01,2.535227243331342084e+00
3.558244705200195312e-01,2.536903922188749494e+00
3.578262329101562500e-01,2.545607393456386536e+00
3.598237037658691406e-01,2.547962373252198098e+00
3.618276119232177734e-01,2.555830187300466072e+00
3.638269901275634766e-01,2.558864660127718516e+00
3.658266067504882812e-01,2.564614124848142218e+00
3.678288459777832031e-01,2.567295142089741411e+00
3.698263168334960938e-01,2.572611280990991567e+00
3.718256950378417969e-01,2.573685356817883907e+00
3.738265037536621094e-01,2.578931758276433950e+00
3.758263587951660156e-01,2.579530188981317362e+00
3.778276443481445312e-01,2.584671686252556722e+00
3.798241615295410156e-01,2.584045837407808133e+00
3.818266391754150391e-01,2.588150809782840067e+00
3.838238716125488281e-01,2.591060708887661601e+00
3.858246803283691406e-01,2.592991899608600104e+00
3.878240585327148438e-01,2.593489598451804934e+00
3.898243904113769531e-01,2.595066141494052570e+00
3.918216228485107422e-01,2.594754409164715891e+00
3.938238620758056641e-01,2.598260354788345605e+00
3.958241939544677734e-01,2.597765636177734816e+00
3.978250026702880859e-01,2.599630069688566802e+00
3.998229503631591797e-01,2.599878025040391005e+00
4.018242359161376953e-01,2.600168299695050589e+00
4.038219451904296875e-01,2.600921702494824128e+00
4.058234691619873047e-01,2.600865078075537351e+00
4.078221321105957031e-01,2.600705933655015567e+00
4.098219871520996094e-01,2.599872064575202923e+00
4.118220806121826172e-01,2.598605465722735541e+00
4.138226509094238281e-01,2.599315357126636084e+00
4.158298969268798828e-01,2.598313402928519533e+00
4.178264141082763672e-01,2.594264458926255568e+00
4.198224544525146484e-01,2.595330190101884593e+00
4.218225479125976562e-01,2.594770502420723712e+00
4.238212108612060547e-01,2.594723414745737866e+00
4.258217811584472656e-01,2.593021701934540513e+00
4.278273582458496094e-01,2.592298697507226191e+00
4.298222064971923828e-01,2.587037990932225195e+00
4.318206310272216797e-01,2.586573670694073623e+00
4.338214397430419922e-01,2.586127231851486297e+00
4.358174800872802734e-01,2.585247467189725423e+00
4.380333423614501953e-01,2.584112594617914649e+00
4.401209354400634766e-01,2.543334668080170946e+00
4.428310394287109375e-01,2.542016809227086060e+00
