time_s,voltage_v
1.975536346435546875e-03,3.516674460968310847e-04
3.947019577026367188e-03,3.463030274275574120e-04
5.973339080810546875e-03,3.427267483147082789e-04
8.000373840332031250e-03,3.582239578037211712e-04
9.896278381347656250e-03,3.510713995780229048e-04
1.194524765014648438e-02,3.427267483147082789e-04
1.392650604248046875e-02,3.486872135027901313e-04
1.599645614624023438e-02,3.594160508413375308e-04
1.795864105224609375e-02,3.463030274275574120e-04
1.993346214294433594e-02,3.439188413523246385e-04
2.192640304565429688e-02,3.492832600215983654e-04
2.393078804016113281e-02,3.445148878711328183e-04
2.592825889587402344e-02,3.415346552770919192e-04
2.794098854064941406e-02,3.474951204651737717e-04
2.997469902038574219e-02,3.528595391344474985e-04
3.197741508483886719e-02,3.546476786908720380e-04
3.399610519409179688e-02,3.540516321720638582e-04
3.598499298095703125e-02,3.504753530592147250e-04
3.800582885742187500e-02,3.540516321720638582e-04
3.993177413940429688e-02,3.480911669839819515e-04
4.197692871093750000e-02,3.498793065404065452e-04
4.400682449340820312e-02,3.468990739463655919e-04
4.595017433166503906e-02,3.600120973601457107e-04
4.796552658081054688e-02,3.558397717284883977e-04
4.993963241577148438e-02,3.552437252096802178e-04
5.193233489990234375e-02,3.457069809087492322e-04
5.393052101135253906e-02,3.552437252096802178e-04
5.595278739929199219e-02,3.552437252096802178e-04
5.797266960144042969e-02,3.540516321720638582e-04
5.996990203857421875e-02,3.534555856532556784e-04
6.199622154235839844e-02,3.588200043225293510e-04
6.397128105163574219e-02,3.498793065404065452e-04
6.597161293029785156e-02,3.486872135027901313e-04
6.794595718383789062e-02,3.486872135027901313e-04
6.992650032043457031e-02,3.439188413523246385e-04
7.192587852478027344e-02,3.409386087582836852e-04
7.392406463623046875e-02,3.445148878711328183e-04
7.592630386352539062e-02,3.463030274275574120e-04
7.792544364929199219e-02,3.492832600215983654e-04
7.993006706237792969e-02,3.445148878711328183e-04
8.193111419677734375e-02,3.552437252096802178e-04
8.392930030822753906e-02,3.463030274275574120e-04
8.592724800109863281e-02,3.463030274275574120e-04
8.792996406555175781e-02,3.504753530592147250e-04
8.992648124694824219e-02,3.492832600215983654e-04
9.192919731140136719e-02,3.409386087582836852e-04
9.392714500427246094e-02,3.463030274275574120e-04
9.594035148620605469e-02,3.522634926156392645e-04
9.793353080749511719e-02,3.457069809087492322e-04
9.992957115173339844e-02,3.492832600215983654e-04
1.019270420074462891e-01,3.445148878711328183e-04
1.039314270019531250e-01,3.486872135027901313e-04
1.059277057647705078e-01,3.445148878711328183e-04
1.079287528991699219e-01,3.409386087582836852e-04
1.099288463592529297e-01,3.451109343899409982e-04
1.119306087493896484e-01,3.486872135027901313e-04
1.139278411865234375e-01,3.403425622394755054e-04
1.159303188323974609e-01,3.504753530592147250e-04
1.179277896881103516e-01,3.468990739463655919e-04
1.199293136596679688e-01,3.528595391344474985e-04
1.219279766082763672e-01,3.451109343899409982e-04
1.239292621612548828e-01,3.492832600215983654e-04
1.259269714355468750e-01,3.516674460968310847e-04
1.279296875000000000e-01,3.463030274275574120e-04
1.299281120300292969e-01,3.474951204651737717e-04
1.319301128387451172e-01,3.439188413523246385e-04
1.339282989501953125e-01,3.504753530592147250e-04
1.359307765960693359e-01,3.486872135027901313e-04
1.380052566528320312e-01,3.558397717284883977e-04
1.399576663970947266e-01,3.588200043225293510e-04
1.420333385467529297e-01,3.576279112849129914e-04
1.440007686614990234e-01,3.600120973601457107e-04
1.459553241729736328e-01,3.588200043225293510e-04
1.479635238647460938e-01,3.510713995780229048e-04
1.499321460723876953e-01,3.474951204651737717e-04
1.519334316253662109e-01,3.528595391344474985e-04
1.539282798767089844e-01,3.451109343899409982e-04
1.559278964996337891e-01,3.486872135027901313e-04
1.579284667968750000e-01,3.433227948335164587e-04
1.599292755126953125e-01,3.445148878711328183e-04
1.619415283203125000e-01,3.492832600215983654e-04
1.639282703399658203e-01,3.492832600215983654e-04
1.659286022186279297e-01,3.474951204651737717e-04
1.679279804229736328e-01,3.510713995780229048e-04
1.699333190917968750e-01,3.463030274275574120e-04
1.719961166381835938e-01,3.510713995780229048e-04
1.739675998687744141e-01,3.492832600215983654e-04
1.759328842163085938e-01,3.463030274275574120e-04
1.779294013977050781e-01,3.445148878711328183e-04
1.800208091735839844e-01,3.558397717284883977e-04
1.819736957550048828e-01,3.516674460968310847e-04
1.839628219604492188e-01,3.492832600215983654e-04
1.859884262084960938e-01,3.510713995780229048e-04
1.880202293395996094e-01,3.540516321720638582e-04
1.899015903472900391e-01,3.516674460968310847e-04
1.919398307800292969e-01,3.451109343899409982e-04
1.939299106597900391e-01,3.445148878711328183e-04
1.959292888641357422e-01,3.468990739463655919e-04
1.979286670684814453e-01,3.486872135027901313e-04
1.999285221099853516e-01,3.474951204651737717e-04
2.019281387329101562e-01,3.498793065404065452e-04
2.039301395416259766e-01,3.522634926156392645e-04
2.059268951416015625e-01,3.498793065404065452e-04
2.079298496246337891e-01,3.498793065404065452e-04
2.099268436431884766e-01,3.486872135027901313e-04
2.119293212890625000e-01,3.421307017959000990e-04
2.139272689819335938e-01,3.427267483147082789e-04
2.159285545349121094e-01,3.445148878711328183e-04
2.179274559020996094e-01,3.409386087582836852e-04
2.199280261993408203e-01,3.528595391344474985e-04
2.219288349151611328e-01,3.486872135027901313e-04
